省,省确诊,省治愈,省死亡,日期
湖南省,1004,460,3,2020/2/15
山西省,128,48,0,2020/2/15
河北省,300,105,3,2020/2/15
吉林省,89,30,1,2020/2/15
江西省,925,240,1,2020/2/15
新疆维吾尔自治区,71,12,1,2020/2/15
安徽省,962,255,6,2020/2/15
福建省,287,82,0,2020/2/15
湖北省,58182,6693,1696,2020/2/16
广东省,1322,524,4,2020/2/16
上海市,332,161,1,2020/2/16
黑龙江省,457,85,11,2020/2/16
北京市,381,114,4,2020/2/16
陕西省,240,79,0,2020/2/16
四川省,495,153,3,2020/2/16
辽宁省,121,43,1,2020/2/16
贵州省,146,57,1,2020/2/16
广西壮族自治区,238,53,2,2020/2/16
浙江省,1171,507,0,2020/2/16
山东省,541,191,2,2020/2/16
云南省,171,47,0,2020/2/16
海南省,163,59,4,2020/2/16
内蒙古自治区,72,8,0,2020/2/16
宁夏回族自治区,70,35,0,2020/2/16
甘肃省,90,56,2,2020/2/16
天津市,125,46,3,2020/2/16
重庆市,552,211,5,2020/2/16
江苏省,626,258,0,2020/2/16
河南省,1246,507,16,2020/2/16
湖南省,1006,498,3,2020/2/16
山西省,129,51,0,2020/2/16
河北省,301,122,3,2020/2/16
吉林省,89,34,1,2020/2/16
江西省,930,275,1,2020/2/16
新疆维吾尔自治区,75,12,1,2020/2/16
安徽省,973,280,6,2020/2/16
福建省,290,90,0,2020/2/16
湖北省,59989,7943,1789,2020/2/17
广东省,1328,560,4,2020/2/17
上海市,333,177,1,2020/2/17
黑龙江省,464,111,11,2020/2/17
北京市,387,122,4,2020/2/17
陕西省,240,86,0,2020/2/17
四川省,508,169,3,2020/2/17
辽宁省,121,53,1,2020/2/17
贵州省,146,66,1,2020/2/17
广西壮族自治区,242,69,2,2020/2/17
浙江省,1172,535,0,2020/2/17
山东省,543,211,3,2020/2/17
云南省,172,57,0,2020/2/17
海南省,163,79,4,2020/2/17
内蒙古自治区,73,8,0,2020/2/17
宁夏回族自治区,70,42,0,2020/2/17
甘肃省,91,59,2,2020/2/17
天津市,127,48,3,2020/2/17
